映射ID,PB模块目录,PB函数或事件,PB SQL片段标识,目标Repository方法,目标模型,事务边界Service,输入参数,输出结构,一致性校验SQL,校验结果,迁移状态,备注
S100,purchase.pbl,u_pc_plan,采购计划列表查询,PcPlanRepository.list_pc_plans,TPC01_PCPLAN,PcPlanService.list_pc_plans,pcplanid|slbillid|pctyp|auditflg|page|page_size,采购计划列表,"SELECT * FROM TPC01_PCPLAN WHERE 1=1 ORDER BY PCPLANID DESC OFFSET :offset ROWS FETCH NEXT :page_size ROWS ONLY",待执行,进行中,来源：数据库表结构推断
S101,purchase.pbl,u_pc_plan,采购计划详情查询,PcPlanRepository.get_pc_plan,TPC01_PCPLAN,PcPlanService.get_pc_plan,pcplanid,采购计划详情,"SELECT * FROM TPC01_PCPLAN WHERE PCPLANID = :pcplanid",待执行,进行中,来源：数据库表结构推断
S102,purchase.pbl,u_pc_plan,采购计划创建,PcPlanRepository.create_pc_plan,TPC01_PCPLAN,PcPlanService.create_pc_plan,pcplanid|slbillid|pctyp|ptimes|opercd,创建结果,"INSERT INTO TPC01_PCPLAN (PCPLANID, SLBILLID, PCTYP, PTIMES, OPERCD, AUDITFLG) VALUES (:pcplanid, :slbillid, :pctyp, :ptimes, :opercd, '0')",待执行,进行中,来源：数据库表结构推断
S103,purchase.pbl,u_pc_plan,采购计划更新,PcPlanRepository.update_pc_plan,TPC01_PCPLAN,PcPlanService.update_pc_plan,pcplanid|pctyp|ptimes|auditflg,更新结果,"UPDATE TPC01_PCPLAN SET PCTYP = :pctyp, PTIMES = :ptimes, AUDITFLG = :auditflg WHERE PCPLANID = :pcplanid",待执行,进行中,来源：数据库表结构推断
S104,purchase.pbl,u_pc_plan,采购计划删除,PcPlanRepository.delete_pc_plan,TPC01_PCPLAN,PcPlanService.delete_pc_plan,pcplanid,删除结果,"DELETE FROM TPC01_PCPLAN WHERE PCPLANID = :pcplanid",待执行,进行中,来源：数据库表结构推断
S001,itsm.pbl,u_itsm_open|u_itsm_renovate|u_itsm_archive,维修单查询与状态管理,MaintenanceRepository.get_by_id|list_maintenances,TIT10_MAINTENANCEDAY,MaintenanceService,maintenance_id|cust_cd|status,维修单详情/列表,"SELECT * FROM TIT10_MAINTENANCEDAY WHERE MAINTENANCE_ID=:maintenance_id",待执行,进行中,来源：itsm.pbl维修单管理；结合优化2统一状态机
S028,itsm.pbl,u_itsm_open.oe_update|u_itsm_renovate.oe_update,维修单创建,MaintenanceRepository.create_maintenance,TIT10_MAINTENANCEDAY,MaintenanceService.create_maintenance,maintenance_info|oper_cd,新维修单ID,"INSERT INTO TIT10_MAINTENANCEDAY (...) VALUES (...)",待执行,进行中,来源：优化2统一入口
S029,itsm.pbl,u_itsm_open|u_itsm_renovate,维修单状态流转,MaintenanceRepository.update_status,TIT10_MAINTENANCEDAY,MaintenanceService.transition_state|dispatch|start_work|complete|cancel,maintenance_id|old_status|new_status|oper_cd,更新结果,"UPDATE TIT10_MAINTENANCEDAY SET CURRENT_STATUS=:new_status WHERE MAINTENANCE_ID=:maintenance_id AND CURRENT_STATUS=:old_status",待执行,进行中,来源：优化2统一状态机
S030,itsm.pbl,TIT10_MAIN_TRACK,维修单状态日志记录,MaintenanceRepository.log_status_change,TIT10_MAIN_TRACK,MaintenanceService,maintenance_id|memo,记录结果,"INSERT INTO TIT10_MAIN_TRACK (...) VALUES (...)",待执行,进行中,来源：状态变更审计日志
S031,itsm.pbl,StateMachine,统一状态机模型,StateMachine,MaintenanceService,from_status|to_status,验证结果,"状态流转规则定义",待执行,进行中,来源：优化2核心设计
