模板类型,业务域,表名/代码集,中文名称,字段/状态码,字段中文名/状态名称,类型/长度,是否主键,是否必填,默认值,取值范围/状态流转,业务规则,来源PBL/对象,接口映射(预留),备注
实体,系统管理,tmc13_users,用户主表,usercd,用户编码,VARCHAR2(20),是,是,,唯一且不可重复,作为登录与权限基础标识,app_system.pbl/u_mc_user,,
实体,系统管理,tmc13_users,用户主表,usernm,用户名称,VARCHAR2(100),否,是,,非空,用于显示与检索,app_system.pbl/u_mc_user,,
实体,系统管理,tmc13_users,用户主表,useflg,有效标志,CHAR(1),否,是,1,"1=有效,0=无效",禁用用户需同步权限侧状态,app_system.pbl/u_mc_user,,
实体,系统管理,tmc15_menu,系统菜单表,menucd,菜单代码,VARCHAR2(20),是,是,,唯一且可层级编码,关联父子菜单和执行UO,app_system.pbl/u_mc_menu,,
实体,系统管理,tmc15_menu,系统菜单表,objname,执行对象名,VARCHAR2(100),否,否,,u_*对象名,用于主窗口动态打开模块,app_main.pbl/w_m_appmain,,
实体,ITSM,tit10_maintenanceday,维护单主表,maintenance_id,维护单号,VARCHAR2(30),是,是,,唯一且业务可追溯,核心工单标识,itsm.pbl/u_itsm_open,,
实体,ITSM,tit10_maintenanceday,维护单主表,current_status,当前状态,CHAR(1),否,是,,状态码字典约束,禁止非法状态跳转,itsm.pbl/u_itsm_open,,
实体,ITSM,plan_cust,计划执行表,planno,计划单号,VARCHAR2(30),是,是,,唯一,与工单关联回写,itsm.pbl/u_itsm_open,,
实体,ITSM,plan_cust,计划执行表,status,计划状态,CHAR(2),否,是,,状态码字典约束,关单后按规则回写状态,itsm.pbl/u_itsm_open,,
实体,ITSM,tit27_close_bills,关单流水表,business_operation_id,业务流水ID,NUMBER,是,是,,唯一,记录关单审计链路,itsm.pbl/u_itsm_open;itsm02.pbl/u_itsm_device_change,,
实体,采购,tpc01_pcplan,采购计划主表,pcplanid,采购计划单号,VARCHAR2(30),是,是,,唯一,送审/作废流程主键,purchase.pbl/u_pc_plan,,
实体,采购,tpc01_pcplan,采购计划主表,useflg,有效标志,CHAR(1),否,是,1,"1=有效,9=作废",作废后不可再编辑,purchase.pbl/u_pc_plan,,
实体,销售,tsl10_slbill,销售单主表,slbillid,销售单号,VARCHAR2(30),是,是,,唯一,销售业务主键,sale.pbl/u_sl_bill,,
实体,销售,tsl10_slbill,销售单主表,useflg,有效标志,CHAR(1),否,是,1,"1=有效,9=作废",作废后触发库存校验,sale.pbl/u_sl_bill,,
实体,仓储,twh*_*,仓储业务表族,inbillid/outbillid,入/出库单号,VARCHAR2(30),是,是,,唯一,按单据类型区分业务,wh.pbl/u_wh_*,,
实体,质检,tqc*_*,质检业务表族,qcbillid,质检单号,VARCHAR2(30),是,是,,唯一,质检流程主键,qc.pbl/u_qc_result_manage,,
状态码,通用,useflg,有效性状态,useflg=1,有效,CHAR(1),,,,,正常业务可见/可操作,多模块通用,,
状态码,通用,useflg,有效性状态,useflg=0,无效,CHAR(1),,,,,历史或停用数据,多模块通用,,
状态码,通用,useflg,有效性状态,useflg=9,作废,CHAR(1),,,,,单据撤销后状态,采购/销售/ITSM常见,,
状态码,ITSM,current_status,工单状态,current_status=1,新建,CHAR(1),,,,,允许编辑与保存,itsm.pbl/u_itsm_open,,
状态码,ITSM,current_status,工单状态,current_status=3,已关闭,CHAR(1),,,,,关单后禁止修改,itsm.pbl/u_itsm_open;itsm02.pbl/u_itsm_device_change,,
状态码,ITSM,current_status,工单状态,current_status=9,已作废,CHAR(1),,,,,作废后不可关闭,itsm.pbl/u_itsm_open;itsm02.pbl/u_itsm_device_change,,
状态码,ITSM,plan_cust.status,计划状态,status=01,待执行,CHAR(2),,,,,可被工单回写,itsm.pbl/u_itsm_open,,
状态码,ITSM,plan_cust.status,计划状态,status=03,完成/关闭,CHAR(2),,,,,关单成功后回写,itsm02.pbl/u_itsm_device_change,,
